,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,27.0,3.0,5.0,5.0,4.0,5.0,27.0,3.0,4.0,5.0,4.0,3.0,7.0,7.0,4.0,3.0,5.0,2.0,27.0,3.0,2.0,27.0,3.0,7.0,27.0,27.0,5.0,4.0,7.0,5.0,7.0,7.0,7.0,3.0,3.0,4.0,4.0,3.0,7.0,2.0,3.0,5.0,27.0,3.0,7.0,27.0,5.0,5.0,2.0,3.0
2,31.0,5.0,7.0,7.0,8.0,8.0,30.0,7.0,8.0,27.0,8.0,27.0,10.0,13.0,10.0,50.0,7.0,5.0,31.0,5.0,8.0,31.0,7.0,13.0,29.0,33.0,7.0,7.0,50.0,11.0,12.0,10.0,11.0,5.0,27.0,5.0,8.0,27.0,8.0,8.0,50.0,7.0,33.0,7.0,11.0,30.0,8.0,50.0,8.0,7.0
3,34.0,11.0,10.0,10.0,13.0,50.0,36.0,50.0,10.0,30.0,11.0,33.0,15.0,15.0,14.0,85.0,10.0,11.0,37.0,8.0,13.0,34.0,13.0,18.0,35.0,39.0,8.0,13.0,72.0,15.0,17.0,16.0,16.0,11.0,29.0,27.0,12.0,31.0,12.0,14.0,51.0,12.0,37.0,50.0,13.0,34.0,50.0,85.0,10.0,13.0
4,37.0,15.0,16.0,16.0,19.0,52.0,40.0,52.0,15.0,33.0,17.0,35.0,18.0,17.0,19.0,91.0,14.0,15.0,40.0,11.0,17.0,38.0,16.0,24.0,41.0,16.0,10.0,19.0,42.0,19.0,23.0,19.0,18.0,14.0,32.0,32.0,18.0,35.0,17.0,16.0,57.0,16.0,41.0,52.0,15.0,39.0,72.0,91.0,12.0,15.0
5,38.0,21.0,39.0,22.0,23.0,34.0,46.0,58.0,18.0,37.0,39.0,37.0,22.0,23.0,23.0,92.0,17.0,21.0,16.0,13.0,39.0,42.0,22.0,27.0,44.0,22.0,16.0,23.0,44.0,23.0,29.0,23.0,24.0,15.0,38.0,38.0,24.0,40.0,19.0,39.0,58.0,22.0,47.0,85.0,17.0,42.0,75.0,97.0,18.0,16.0
6,16.0,57.0,16.0,24.0,24.0,40.0,48.0,63.0,39.0,41.0,42.0,16.0,26.0,29.0,24.0,98.0,18.0,27.0,22.0,17.0,45.0,46.0,23.0,30.0,45.0,28.0,39.0,27.0,50.0,26.0,30.0,28.0,30.0,21.0,44.0,16.0,29.0,46.0,23.0,40.0,82.0,24.0,51.0,87.0,19.0,45.0,81.0,97.0,24.0,17.0
7,19.0,82.0,39.0,30.0,30.0,16.0,51.0,65.0,42.0,47.0,16.0,22.0,29.0,30.0,27.0,98.0,21.0,30.0,23.0,39.0,49.0,48.0,27.0,36.0,49.0,29.0,42.0,33.0,52.0,32.0,32.0,30.0,32.0,57.0,45.0,17.0,32.0,50.0,27.0,16.0,85.0,30.0,34.0,90.0,21.0,51.0,83.0,97.0,57.0,39.0
8,23.0,85.0,42.0,34.0,31.0,17.0,56.0,71.0,46.0,49.0,17.0,28.0,35.0,34.0,31.0,98.0,23.0,36.0,57.0,44.0,34.0,85.0,28.0,37.0,72.0,32.0,44.0,36.0,34.0,36.0,38.0,36.0,38.0,58.0,48.0,21.0,35.0,56.0,30.0,17.0,87.0,31.0,40.0,82.0,22.0,34.0,89.0,97.0,59.0,44.0
9,29.0,91.0,16.0,40.0,37.0,23.0,82.0,73.0,48.0,51.0,19.0,34.0,37.0,38.0,34.0,98.0,29.0,42.0,82.0,49.0,38.0,89.0,34.0,41.0,76.0,36.0,49.0,40.0,40.0,42.0,42.0,41.0,44.0,62.0,52.0,24.0,41.0,62.0,36.0,21.0,89.0,37.0,44.0,88.0,26.0,36.0,92.0,97.0,82.0,49.0
